"Subject" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-std()-X" "tBodyAcc-mean()-Y" "tBodyAcc-std()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-std()-X" "tGravityAcc-mean()-Y" "tGravityAcc-std()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-std()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-std()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-std()-X" "tBodyGyro-mean()-Y" "tBodyGyro-std()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-std()-X" "fBodyAcc-mean()-Y" "fBodyAcc-std()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-Z"
1 "WALKING" 0.27486626812983 -0.297977235408362 -0.0181502805692427 -0.0115931356440031 -0.109248084893354 -0.294659079364096 0.925749440293663 -0.977548137357032 -0.211044961839258 -0.967108636707882 -0.0874039873987635 -0.953467873106646 0.0768141832460587 -0.240875542081747 0.0159879247920889 -0.100118311187821 0.000500165218823803 -0.508739675237558 -0.0314517570124884 -0.475346415643277 -0.0704807621378563 -0.314230233795379 0.0827784315209034 -0.33346364628609 -0.0957028712672751 -0.372498531520402 -0.0432956061531376 -0.530307355090572 -0.050179888227527 -0.467580627270325 -0.159781889284389 -0.32479709684493 -0.159781889284389 -0.32479709684493 -0.233354587857355 -0.215517972188424 -0.259706704330139 -0.375561616968161 -0.467011075591654 -0.529404483538485 -0.273654211132148 -0.309067218527357 -0.0327078609057187 -0.064687543975085 -0.361673064999227 -0.31600607612626
2 "WALKING" 0.276922402717042 -0.331845357906752 -0.018057469273614 -0.0483716661682476 -0.108725464870418 -0.258032283521543 0.933467414308682 -0.976403485691318 -0.213204226832797 -0.967582282009646 -0.0215975892369775 -0.955161244244373 0.0765366620281833 -0.288199950399775 0.0116878919185691 -0.11001948952576 -0.00326728329480707 -0.435516947637621 -0.0416931747575884 -0.477945621073955 -0.0644843777028617 -0.367813123434405 0.0946886000203376 -0.334549482318006 -0.0877482970408151 -0.391127978326367 -0.0476160821652412 -0.49356562671865 -0.0594836903650322 -0.451009514701929 -0.181767086608032 -0.355842322563794 -0.181767086608032 -0.355842322563794 -0.243732396667042 -0.21406913757492 -0.286191432366543 -0.37969493186672 -0.455508080001608 -0.47468928547627 -0.314347984702653 -0.340112106046142 -0.0517351972691318 -0.108866500212701 -0.312831132806431 -0.287715326607396
3 "WALKING" 0.276010992439024 -0.352978195121951 -0.0173941138506504 -0.124681034082927 -0.105249982262602 -0.246348671739837 0.951679121382114 -0.978818395528455 -0.20686184804878 -0.966488647398374 -0.0671985194545529 -0.947793670325203 0.0748130969563415 -0.324548622235772 0.0163512045162602 -0.164259321021951 -0.00655943673495935 -0.52518752300813 -0.0363734547130081 -0.474660756829268 -0.0710462314203252 -0.262681532196748 0.0827269270211382 -0.321263571365854 -0.0910883643853659 -0.425251896666667 -0.0508972408699187 -0.564329432764228 -0.0473172388565041 -0.504716165934959 -0.223220662382114 -0.345045935528455 -0.223220662382114 -0.345045935528455 -0.318112209837398 -0.252918414381301 -0.232069487183008 -0.405793432227642 -0.516425285203252 -0.556594091300813 -0.334998389325203 -0.361125045691057 -0.140782312219512 -0.172439176870732 -0.35804084300813 -0.248685536634146
4 "WALKING" 0.278582015166667 -0.440829971333333 -0.0148399475341667 -0.0788267367683333 -0.11140306485 -0.586252806833333 0.963999696833333 -0.983826494833333 -0.0858540265666667 -0.967963221 0.127764112666667 -0.962968112 0.0783529082183333 -0.297042612533333 0.00295602428666667 -0.221165131581667 -0.000767679338333334 -0.7513913825 -0.0317982557795 -0.500916659 -0.0726905278583333 -0.665394092833333 0.0805677161216667 -0.662608226 -0.115321556475 -0.492341066833333 -0.0393474489133333 -0.807419937 -0.0551166852766667 -0.640454132833333 -0.312050574166667 -0.527679103166667 -0.312050574166667 -0.527679103166667 -0.366700879833333 -0.316918956 -0.49779220106 -0.553116111166667 -0.6813040365 -0.7301463685 -0.426719449666667 -0.447234929666667 -0.14939963344 -0.101799450565167 -0.631005470833333 -0.594198325666667
5 "WALKING" 0.27784234625 -0.294098534232143 -0.0172850317482679 0.0767484028053571 -0.107741776464286 -0.45702143625 0.972624959821429 -0.979348381428571 -0.100440285303571 -0.961585474821429 0.00247623628392857 -0.964580803928571 0.0845888833571429 -0.302891024625 -0.0163194101232143 -0.0910397428607143 8.32159351785732e-05 -0.612895318571429 -0.0488919896632143 -0.490877497857143 -0.0690135249642857 -0.504622029821429 0.0815435495892857 -0.318700615178571 -0.0888408355267857 -0.357681403285714 -0.0449559531089286 -0.57143812375 -0.0482679596035714 -0.157682543983929 -0.158338674394643 -0.377178733392857 -0.158338674394643 -0.377178733392857 -0.288333024071429 -0.282242276785714 -0.355933083571429 -0.492176823571429 -0.444532485357143 -0.48919974625 -0.287782607410714 -0.297517355196429 0.00946037755178572 0.0426026830839286 -0.490251090714286 -0.483059957321429
6 "WALKING" 0.283658868070175 -0.296538717368421 -0.0168954189082456 0.164213884996491 -0.110303165877193 -0.504324207192982 0.958067455087719 -0.977779896491228 -0.214694852280702 -0.964248568070175 0.0331888826842105 -0.957205025789474 0.0699585876912281 -0.132784766936842 -0.0164831715964912 0.00808897373684211 -0.00738931200701754 -0.575777466491228 -0.025509618645614 -0.446020952631579 -0.0744462466 -0.331702267894737 0.0838808799280702 -0.383139334736842 -0.0878891090105263 -0.18260093354386 -0.0362308971842105 -0.416390246140351 -0.0539597284210526 -0.166684422233333 -0.166840713631579 -0.266734167368421 -0.166840713631579 -0.266734167368421 -0.195117026052632 -0.0706029648421053 -0.281207841122807 -0.36560291677193 -0.321290483140351 -0.364708342315789 -0.187934323140351 -0.34522769 0.140781621991228 0.101699642168947 -0.498520164385965 -0.550474621754386
7 "WALKING" 0.275592961754386 -0.327243240701754 -0.018653665345614 -0.0772618561052631 -0.110912234947368 0.159631283261403 0.932566472280702 -0.979851271403509 -0.159097003684211 -0.969404155087719 -0.160846924029807 -0.952159770526316 0.0901462649192983 -0.346026226140351 0.0184322723280702 -0.0547448948245614 -0.0210398551649123 -0.149488514397895 0.00228835208526316 -0.503313517017544 -0.0837113724842105 -0.23109830545614 0.0641104602035088 -0.396013535263158 -0.123654199751333 -0.21166729682807 -0.0447766029745614 -0.174136410738596 -0.0495713093294737 -0.458302971403509 -0.0978090439438596 -0.198554708385965 -0.0978090439438596 -0.198554708385965 -0.192948900438596 -0.027557329277193 -0.305959351403509 -0.19828316695614 -0.300022779964912 -0.0953401161070176 -0.343048405789474 -0.322034908070175 -0.0641564202736842 -0.143721823263158 0.0385832252345614 0.133316828089298
8 "WALKING" 0.27468631 -0.173605736002083 -0.0186628865310417 0.380782052708333 -0.107252090833333 -0.1420885318125 0.913586347916667 -0.974752050208333 -0.217102194583333 -0.956781505625 -0.186267836962021 -0.956640104791667 0.0703393490833333 -0.2586886278125 -0.00603947514583333 0.233987544458333 -0.000673798876875 -0.383200596479167 0.0235088228254167 -0.1992097184375 -0.095791790535 -0.2119972775 0.0509657915395833 -0.0754447842395833 -0.135886431360417 -0.2460827504375 -0.0314880905541667 -0.428055700208333 -0.0522683965333333 -0.388446971666667 0.0516786278104167 -0.1804072826 0.0516786278104167 -0.1804072826 -0.0668322430433333 -0.184571053979167 -0.00310243820125 -0.238746703958333 -0.339129269583333 -0.502957255416667 -0.247389011875 -0.148386858858333 0.316982393333333 0.32484493125 -0.238634594791667 -0.158437341970833
9 "WALKING" 0.278502842115385 -0.238353562692308 -0.0180891971284423 -0.201696960826923 -0.110820512307692 -0.0579636469030769 0.951867079615385 -0.980971973653846 -0.0314341738730769 -0.971242423076923 -0.115856121080385 -0.955523995576923 0.0704357270480769 -0.206733787961538 0.0212255910017308 -0.276929933846154 0.00414762740192308 -0.409764526153846 -0.0808360598653846 -0.476163506730769 -0.0625598710615385 -0.467054167884615 0.111629779896154 -0.265683521346154 -0.0809204094461538 -0.526985309038462 -0.0356283427038462 -0.549200228076923 -0.0633406620592308 -0.457881494038462 -0.0980840496143461 -0.37942877 -0.0980840496143461 -0.37942877 -0.203733615519231 -0.317113487115385 -0.294542266826923 -0.489725811538462 -0.510253995769231 -0.599866472692308 -0.294711163653846 -0.218019977423077 -0.257677616153846 -0.223972558596154 -0.250806259788462 -0.0337965256573077
1 "WALKING_UPSTAIRS" 0.261167739942857 -0.248402957224339 -0.0237442544181923 -0.00605334066625 -0.11675033986125 -0.141030802427679 0.863515035303571 -0.949092600785714 -0.281569884107143 -0.928400063053571 -0.145628491629791 -0.902500229267857 0.0798287078185536 -0.3778666979625 0.010386717392 -0.34033136843625 -0.00450629540125 -0.642029135791071 -0.00177986857451786 -0.48664604953875 -0.0820061337053179 -0.254441015558393 0.0558883032176071 -0.287740607208036 -0.108151709203625 -0.590419539029286 -0.0409420285632857 -0.673882343910714 -0.0479477356765 -0.59322512300375 -0.0951868545905536 -0.239150794265207 -0.0951868545905536 -0.239150794265207 -0.39976650446375 -0.40461011768 -0.158436256492857 -0.303985761113071 -0.622852890373393 -0.687411569196429 -0.303849606719125 -0.229284267509821 -0.139090990061786 -0.00651962973494643 -0.373791083321607 -0.0976625176719107
